url,name,identifier
http://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-N05-v1_3.html,鉄道時系列,N05
http://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-N06-v1_2.html,高速道路時系列,N06
http://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-N07.html,バスルート,N07
http://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-N08-v1_4.html,空港時系列,N08
http://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-N09.html,定期旅客航路,N09
http://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-N10-v1_1.html,緊急輸送道路,N10
http://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-N11.html,ヘリポート,N11
http://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-P02-v4_0.html,公共施設,P02
http://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-P03.html,発電施設,P03
http://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-P04-v2_1.html,医療機関,P04
http://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-P05.html,市町村役場等及び公的集会施設,P05
http://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-P07-v2_1.html,燃料給油所,P07
http://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-P09.html,宿泊容量メッシュ,P09
http://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-P11.html,バス停留所,P11
http://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-P12-v2_2.html,観光資源,P12
http://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-P13.html,都市公園,P13
http://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-P14.html,福祉施設,P14
http://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-P15.html,廃棄物処理施設,P15
http://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-P16.html,研究機関,P16
http://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-P17.html,消防署,P17
http://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-P18.html,警察署,P18
http://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-P19.html,地域資源,P19
http://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-P20.html,避難施設,P20
http://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-P21.html,上水道関連施設,P21
http://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-P22.html,下水道関連施設,P22
http://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-P23.html,海岸保全施設,P23
http://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-P24.html,地場産業関連施設,P24
http://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-P26.html,ニュータウン,P26
http://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-P27.html,文化施設,P27
http://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-P28.html,国・都道府県の機関,P28
http://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-P29.html,学校,P29
http://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-P30.html,郵便局,P30
http://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-P31.html,物流拠点,P31
http://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-P32.html,都道府県指定文化財,P32
http://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-P33.html,集客施設,P33
http://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-P34.html,市区町村役場,P34
http://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-S05-a-v2_2.html,発生・集中量,S05-a
http://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-S05-b-v2_2.html,OD量,S05-b
http://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-S05-c.html,交通流動量 駅別乗降数,S05-c
http://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-S05-d-v2_2.html,貨物旅客地域流動量,S05-d
http://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-S10a-v1_2.html,港湾間流通量・海上経路,S10a
http://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-S10b-v1_1.html,空港間流通量,S10b
http://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-S12-v2_2.html,駅別乗降客数,S12
http://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-W01.html,ダム,W01
http://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-W05.html,河川,W05
http://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-W07.html,流域メッシュ,W07
http://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-W09-v2_2.html,湖沼,W09
